timestamp,run_name,users,service,frontend_rps,service_rps,predicted_rps,cpu_usage_cores,memory_usage_bytes,latency_p95_ms,latency_avg_ms,actual_replicas,predicted_replicas,actual_replicas_raw,predicted_replicas_raw,absolute_error,prediction_status
2026-05-04 00:08:30,run_300_users,300,frontend,36.19097021327535,35.953711093375894,36.19097021327535,0.6860280388143983,165203968.0,27279.940119760475,7371.063291139241,5.0,5.0,5.0,4.797561,0.0,correct
2026-05-03 23:21:25,run_100_users,100,paymentservice,27.236487402792783,1.9302604630139693,29.971736497189177,0.0362360894751312,87662592.0,43.333333333333286,19.289583333333333,1.0,1.0,1.0,1.011685,0.0,correct
2026-05-04 00:08:10,run_300_users,300,cartservice,39.475343675116655,43.12283282547021,39.475343675116655,0.1510815509138654,179445760.0,90.27586206896548,36.20745106761581,1.0,2.0,1.0,1.5933812,1.0,over_scaled
2026-05-03 23:42:10,run_200_users,200,frontend,55.0308135393763,54.33200136294644,57.03108479593994,0.7551230915629181,128094208.0,8793.296089385474,3374.6785300925926,5.0,5.0,5.0,5.004174,0.0,correct
2026-05-04 00:30:35,run_400_users,400,adservice,34.474794767893506,21.32308144786874,32.95322175219177,0.0833268995632516,246886400.0,49.25480769230767,15.166616314199352,2.0,2.0,2.0,1.9584515,0.0,correct
2026-05-04 00:30:15,run_400_users,400,adservice,31.940399056846783,19.04101446403804,31.940399056846783,0.0840892192360959,246734848.0,62.46093749999997,16.540468909276246,2.0,2.0,2.0,1.961546,0.0,correct
2026-05-03 23:40:00,run_200_users,200,paymentservice,31.83508989460632,2.1695335502866886,32.77266476250926,0.0295908578413433,88444928.0,56.87499999999999,10.48478260869565,1.0,1.0,1.0,0.9707005,0.0,correct
2026-05-04 00:06:55,run_300_users,300,currencyservice,47.781569965870304,237.2390948637108,51.91852784860679,0.426779051424127,135364608.0,1306.0402684563758,432.7136635750426,3.0,3.0,3.0,2.976725,0.0,correct
2026-05-03 23:45:25,run_200_users,200,currencyservice,45.19878810362951,232.41667722722087,45.57935200439319,0.4614058730339734,124469248.0,903.2814971006854,323.2718658243614,3.0,3.0,3.0,2.990191,0.0,correct
2026-05-04 00:02:50,run_300_users,300,productcatalogservice,31.6481017455939,139.5603470058115,31.6481017455939,0.2423273256777443,63295488.0,67.78590425531927,18.06075700227102,2.0,2.0,2.0,2.011161,0.0,correct
2026-05-04 00:35:30,run_400_users,400,recommendationservice,40.81632653061224,19.44898044634259,35.72845156369184,0.4484643943843456,117723136.0,965.3169014084506,359.5190702087283,3.0,3.0,3.0,3.028098,0.0,correct
2026-05-04 00:02:25,run_300_users,300,currencyservice,25.972427375677007,127.53721244925576,25.988836204309468,0.466653715419833,129634304.0,2004.3269230769235,597.499308923376,3.0,3.0,3.0,3.0022106,0.0,correct
2026-05-04 00:02:00,run_300_users,300,emailservice,30.457968004154267,2.3563241343504138,30.457968004154267,0.054140899058021,116420608.0,43.437500000000014,12.219200000000011,1.0,1.0,1.0,1.0020936,0.0,correct
2026-05-04 00:27:05,run_400_users,400,checkoutservice,29.45840448889973,2.042433849530545,29.45840448889973,0.1067212814441488,65265664.0,1941.666666666666,493.3358208955224,1.0,1.0,1.0,1.0300194,0.0,correct
2026-05-04 00:06:00,run_300_users,300,checkoutservice,52.01705201705202,3.9488332038060014,52.01705201705202,0.1296100219090517,63066112.0,2760.416666666658,942.2581395348838,1.0,1.0,1.0,1.0128365,0.0,correct
2026-05-03 23:23:20,run_100_users,100,checkoutservice,50.402411360740814,3.82224984462399,49.19353129437698,0.1302196704076061,61403136.0,1807.6923076923065,368.7291666666666,1.0,1.0,1.0,1.0177842,0.0,correct
2026-05-04 00:00:55,run_300_users,300,frontend,9.564906140629972,9.94253216409155,9.56490614062997,0.3188956612983241,119586816.0,2625.000000000004,942.5309210526308,4.0,4.0,4.0,4.3800516,0.0,correct
2026-05-04 00:04:05,run_300_users,300,frontend,63.116612537532944,63.90931372549019,58.22744409646727,0.750583951372099,163131392.0,9320.10582010582,4192.2572957198445,5.0,5.0,5.0,5.067779,0.0,correct
2026-05-03 23:21:20,run_100_users,100,emailservice,24.955075611496056,1.5768056806534771,27.236487402792783,0.0456934244277247,113823744.0,33.75,8.641346153846152,1.0,1.0,1.0,1.0195217,0.0,correct
2026-05-04 00:02:45,run_300_users,300,productcatalogservice,31.6481017455939,122.3497553620334,31.6481017455939,0.2423273256777443,63295488.0,66.4349112426035,16.490589569160974,2.0,2.0,2.0,1.9959166,0.0,correct
2026-05-04 00:34:25,run_400_users,400,emailservice,42.23908997762583,3.533864458524141,40.73363190445724,0.062512562443021,117649408.0,48.70535714285714,16.51242603550291,1.0,1.0,1.0,1.0051148,0.0,correct
2026-05-04 00:38:15,run_400_users,400,emailservice,41.19217452967922,2.9409924285088542,34.75700452296391,0.048440545209167,117526528.0,34.25000000000003,9.358730158730134,1.0,1.0,1.0,0.99549544,0.0,correct
